Тип резки,Вид сырья,"Ширина входа, мм","Допуск, мм",Итого ножей,"Остаток, мм",Примечания
MR120 - 30мм х 29,MR120,905,,29,35,Источник: brd/Типы резки.txt; Строка источника: 31; Ширины заказа из источника: 30; Допустимый интервал: Узкое; Комментарий: Лучше уточнить
MR131 - 35мм х 25,MR131,905,,25,30,Источник: brd/Типы резки.txt; Строка источника: 97; Ширины заказа из источника: 35; Допустимый интервал: Узкое; Комментарий: Лучше уточнить
MR132 - 110мм х 8,MR132,910,,8,30,Источник: brd/Типы резки.txt; Строка источника: 502; Ширины заказа из источника: 110; Допустимый интервал: 870-891
MR132 - 25мм х 35,MR132,910,,35,35,Источник: brd/Типы резки.txt; Строка источника: 13; Ширины заказа из источника: 25; Допустимый интервал: 870-891
MR132 - 30мм х 29,MR132,910,,29,40,Источник: brd/Типы резки.txt; Строка источника: 32; Ширины заказа из источника: 30; Допустимый интервал: 870-891
MR132 - 35мм х 25,MR132,910,,25,35,Источник: brd/Типы резки.txt; Строка источника: 98; Ширины заказа из источника: 35; Допустимый интервал: 870-891
MR132 - 59мм х 15,MR132,910,,15,25,Источник: brd/Типы резки.txt; Строка источника: 263; Ширины заказа из источника: 60; Допустимый интервал: 870-891
MR132 - 89мм х 10,MR132,910,,10,20,Источник: brd/Типы резки.txt; Строка источника: 438; Ширины заказа из источника: 89; Допустимый интервал: 870-891
MR132 - 99мм х 9,MR132,910,,9,19,Источник: brd/Типы резки.txt; Строка источника: 460; Ширины заказа из источника: 100; Допустимый интервал: 870-891
MR180 - 110мм х 8,MR180,910,,8,30,Источник: brd/Типы резки.txt; Строка источника: 503; Ширины заказа из источника: 110; Допустимый интервал: 870-891
MR180 - 40мм х 22,MR180,910,,22,30,Источник: brd/Типы резки.txt; Строка источника: 114; Ширины заказа из источника: 40; Допустимый интервал: 870-891
MR180 - 49мм х 18,MR180,910,,18,28,Источник: brd/Типы резки.txt; Строка источника: 173; Ширины заказа из источника: 50; Допустимый интервал: 870-891
MR180 - 55мм х 12 + 110 мм х 2,MR180,910,,14,30,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 57, 110; Допустимый интервал: 870-891"
MR180 - 55мм х 16,MR180,910,,16,30,Источник: brd/Типы резки.txt; Строка источника: 231; Ширины заказа из источника: 57; Допустимый интервал: 870-891
MR180 - 59мм х 15,MR180,910,,15,25,Источник: brd/Типы резки.txt; Строка источника: 264; Ширины заказа из источника: 60; Допустимый интервал: 870-891
"MR180 - 63,5мм х 14",MR180,910,,14,21,Источник: brd/Типы резки.txt; Строка источника: 345; Ширины заказа из источника: 65; Допустимый интервал: 870-891
MR180 - 89мм х 10,MR180,910,,10,20,Источник: brd/Типы резки.txt; Строка источника: 439; Ширины заказа из источника: 89; Допустимый интервал: 870-891
MR190 - 110мм х 2 + 165 мм х 4,MR190,910,,6,30,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 110, 165; Допустимый интервал: 870-891"
MR190 - 110мм х 8,MR190,910,,8,30,Источник: brd/Типы резки.txt; Строка источника: 506; Ширины заказа из источника: 110; Допустимый интервал: 870-891
MR190 - 156мм х 5 + 110 мм х 1,MR190,910,,6,20,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 110, 156; Допустимый интервал: 870-891"
MR190 - 165мм х 4 + 110 мм х 2,MR190,910,,6,30,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 110, 165; Допустимый интервал: 870-891"
MR190 - 165мм х 5 + 59 мм х 1,MR190,910,,6,26,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 60, 165; Допустимый интервал: 870-891"
MR190 - 20мм х 44,MR190,910,,44,30,Источник: brd/Типы резки.txt; Строка источника: 2; Ширины заказа из источника: 20; Допустимый интервал: 870-891
MR190 - 30мм х 29,MR190,910,,29,40,Источник: brd/Типы резки.txt; Строка источника: 33; Ширины заказа из источника: 30; Допустимый интервал: 870-891
"MR190 - 32,5мм х 27",MR190,910,,27,32.5,Источник: brd/Типы резки.txt; Строка источника: 61; Ширины заказа из источника: 33; Допустимый интервал: 870-891
MR190 - 35мм х 25,MR190,910,,25,35,Источник: brd/Типы резки.txt; Строка источника: 99; Ширины заказа из источника: 35; Допустимый интервал: 870-891
MR190 - 40мм х 22,MR190,910,,22,30,Источник: brd/Типы резки.txt; Строка источника: 115; Ширины заказа из источника: 40; Допустимый интервал: 870-891
MR190 - 49мм х 18,MR190,910,,18,28,Источник: brd/Типы резки.txt; Строка источника: 174; Ширины заказа из источника: 50; Допустимый интервал: 870-891
MR190 - 55мм х 12 + 110 мм х 2,MR190,910,,14,30,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 57, 110; Допустимый интервал: 870-891"
MR190 - 55мм х 12 + 55 мм х 4,MR190,910,,16,30,Источник: brd/Типы резки.txt; Строка источника: 233; Ширины заказа из источника: 57; Допустимый интервал: 870-891
MR190 - 55мм х 16,MR190,910,,16,30,Источник: brd/Типы резки.txt; Строка источника: 234; Ширины заказа из источника: 57; Допустимый интервал: 870-891
MR190 - 59мм х 15,MR190,910,,15,25,Источник: brd/Типы резки.txt; Строка источника: 266; Ширины заказа из источника: 60; Допустимый интервал: 870-891
MR190 - 60мм х 15,MR190,910,,15,10,Источник: brd/Типы резки.txt; Строка источника: 267; Ширины заказа из источника: 60; Допустимый интервал: 870-891
MR190 - 64мм х 12 + 110 мм х 1,MR190,910,,13,32,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 64, 110; Допустимый интервал: 870-891"
MR190 - 80мм х 11,MR190,910,,11,30,Источник: brd/Типы резки.txt; Строка источника: 388; Ширины заказа из источника: 80; Допустимый интервал: 870-891
MR190 - 89мм х 10,MR190,910,,10,20,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 89, 90; Допустимый интервал: 870-891"
MR190 - 99мм х 8 + 80 мм х 1,MR190,910,,9,38,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 80, 100; Допустимый интервал: 870-891"
MR190 - 99мм х 9,MR190,910,,9,19,Источник: brd/Типы резки.txt; Строка источника: 462; Ширины заказа из источника: 100; Допустимый интервал: 870-891
MR192 - 110мм х 8,MR192,910,,8,30,Источник: brd/Типы резки.txt; Строка источника: 511; Ширины заказа из источника: 110; Допустимый интервал: 870-891; Строк в План производства.xlsx: 4; Среднее время одной резки: 7.35 мин; Средняя переналадка: 22.5 мин
MR192 - 156мм х 5 + 110 мм х 1,MR192,910,,6,20,"Источник: brd/Типы резки.txt; Строк источника: 2; Ширины заказа из источника: 110, 156; Допустимый интервал: 870-891"
MR192 - 220мм х 4,MR192,910,,4,30,Источник: brd/Типы резки.txt; Строка источника: 672; Ширины заказа из источника: 220; Допустимый интервал: 870-891
MR192 - 25мм х 35,MR192,910,,35,35,Источник: brd/Типы резки.txt; Строка источника: 14; Ширины заказа из источника: 25; Допустимый интервал: 870-891
MR192 - 30мм х 29,MR192,910,,29,40,Источник: brd/Типы резки.txt; Строка источника: 34; Ширины заказа из источника: 30; Допустимый интервал: 870-891; Строк в План производства.xlsx: 1; Среднее время одной резки: 4.2 мин; Средняя переналадка: 30 мин
MR192 - 35мм х 25,MR192,910,,25,35,Источник: brd/Типы резки.txt; Строка источника: 100; Ширины заказа из источника: 35; Допустимый интервал: 870-891
MR192 - 40мм х 22,MR192,910,,22,30,Источник: brd/Типы резки.txt; Строка источника: 116; Ширины заказа из источника: 40; Допустимый интервал: 870-891; Строк в План производства.xlsx: 2; Среднее время одной резки: 4.2 мин; Средняя переналадка: 15 мин
MR192 - 44мм х 20,MR192,910,,20,30,Источник: brd/Типы резки.txt; Строка источника: 163; Ширины заказа из источника: 45; Допустимый интервал: 870-891; Строк в План производства.xlsx: 1; Среднее время одной резки: 4.2 мин; Средняя переналадка: 30 мин
