time_utc,time_utc_plus_03,kind,actor,number,sha,direct_pr,title
2026-05-29T08:38:22+00:00,2026-05-29T11:38:22+03:00,pr_created,unidel2035,2884,,,docs(workflow): расширить primitive type codes + unique=1 + t&lt;tableId&gt;
2026-05-29T09:03:16+00:00,2026-05-29T12:03:16+03:00,pr_merged,unidel2035,2884,,,docs(workflow): расширить primitive type codes + unique=1 + t&lt;tableId&gt;
2026-05-29T13:29:15+00:00,2026-05-29T16:29:15+03:00,issue,ideav,2888,,,integram-app-workflow.md - провести анализ на полноту и непротиворечивость
2026-05-29T13:31:09+00:00,2026-05-29T16:31:09+03:00,pr_created,konard,2889,,,docs(workflow): анализ integram-app-workflow.md на полноту и непротиворечивость
2026-05-29T15:25:18+00:00,2026-05-29T18:25:18+03:00,issue,ideav,2895,,,Правка гайда по разработке https://github.com/ideav/crm/blob/main/docs/integram-app-workflow.md
2026-05-29T15:26:40+00:00,2026-05-29T18:26:40+03:00,pr_created,konard,2896,,,docs(workflow): различие ссылки и подчинённой таблицы (раздел 2.5)
2026-05-29T15:41:56+00:00,2026-05-29T18:41:56+03:00,issue,ideav,2897,,,https://github.com/ideav/crm/issues/2895 Зачем опять написано как не надо делать?
2026-05-29T15:43:19+00:00,2026-05-29T18:43:19+03:00,pr_created,konard,2898,,,docs(workflow): прескриптивный стиль предупреждения о _d_req (#2897)
2026-05-29T15:46:34+00:00,2026-05-29T18:46:34+03:00,issue,ideav,2899,,,https://github.com/ideav/crm/pull/2896 Сделай скрипт для выполнения в Power shell Windows 10 на наполнение БД с нуля
2026-05-29T15:57:39+00:00,2026-05-29T18:57:39+03:00,pr_merged,konard,2898,,,docs(workflow): прескриптивный стиль предупреждения о _d_req (#2897)
2026-05-29T18:30:39+00:00,2026-05-29T21:30:39+03:00,issue,ideav,2901,,,https://github.com/ideav/crm/pull/2900 Неверные исходные данные
2026-05-29T18:33:24+00:00,2026-05-29T21:33:24+03:00,pr_created,konard,2902,,yes,fix(#2901): корректные исходные данные — схема atex (15 таблиц) вместо выгрузки сторонней базы
2026-05-29T18:47:37+00:00,2026-05-29T21:47:37+03:00,pr_merged,konard,2902,,yes,fix(#2901): корректные исходные данные — схема atex (15 таблиц) вместо выгрузки сторонней базы
2026-05-29T18:47:37+00:00,2026-05-29T21:47:37+03:00,commit,konard,,f5885802,,fix(#2901): корректные исходные данные — схема atex (15 таблиц) вместо выгрузки сторонней базы (#2902)
2026-05-29T20:07:07+00:00,2026-05-29T23:07:07+03:00,issue,ideav,2903,,,https://github.com/ideav/crm/pull/2902 Подключи рабочие места по апи - создай отдельные тикеты на каждое
2026-05-29T20:08:17+00:00,2026-05-29T23:08:17+03:00,issue,ideav,2904,,,https://github.com/ideav/crm/pull/2902 Создай роли и пользователей согласно той же спецификации
2026-05-29T20:12:20+00:00,2026-05-29T23:12:20+03:00,issue,ideav,2905,,,"https://github.com/ideav/crm/pull/2900 Разберись и расскажи, почему скрипт был создан по старому проекту orbits, о котором в контексте речи вообще не шло"
2026-05-29T20:40:37+00:00,2026-05-29T23:40:37+03:00,pr_created,konard,2907,,yes,feat(#2904): роли и пользователи atex (шаги 10-11 дизайн-спеки)
2026-05-29T20:41:49+00:00,2026-05-29T23:41:49+03:00,pr_created,konard,2909,,,Разбор #2905: почему скрипт #2900 построен по базе orbits (неверное вложение метаданных)
2026-05-29T20:44:40+00:00,2026-05-29T23:44:40+03:00,pr_created,konard,2910,,yes,docs(#2903): декомпозиция рабочих мест atex на отдельные тикеты
2026-05-29T20:51:05+00:00,2026-05-29T23:51:05+03:00,issue,konard,2911,,,atex: рабочее место «Приём и ведение заказов» (Менеджер)
2026-05-29T20:51:07+00:00,2026-05-29T23:51:07+03:00,issue,konard,2912,,,atex: рабочее место «Калькулятор типов резки» (Диспетчер)
2026-05-29T20:51:09+00:00,2026-05-29T23:51:09+03:00,issue,konard,2913,,,atex: рабочее место «Планирование производства» (Диспетчер)
2026-05-29T20:51:10+00:00,2026-05-29T23:51:10+03:00,issue,konard,2914,,,atex: рабочее место «Приёмка сырья» (Кладовщик)
2026-05-29T20:51:11+00:00,2026-05-29T23:51:11+03:00,issue,konard,2915,,,atex: рабочее место «Пульт слиттера» (Оператор)
2026-05-29T20:51:13+00:00,2026-05-29T23:51:13+03:00,issue,konard,2916,,,atex: рабочее место «Пульт втулкореза» (Оператор)
2026-05-29T20:51:14+00:00,2026-05-29T23:51:14+03:00,issue,konard,2917,,,atex: рабочее место «Карта раскроя» (Оператор)
2026-05-29T20:51:15+00:00,2026-05-29T23:51:15+03:00,issue,konard,2918,,,atex: рабочее место «Склад готовой продукции» (Кладовщик)
2026-05-29T20:51:17+00:00,2026-05-29T23:51:17+03:00,issue,konard,2919,,,atex: рабочее место «Дашборды и отчёты» (Руководитель)
2026-05-29T20:51:19+00:00,2026-05-29T23:51:19+03:00,issue,konard,2920,,,atex: рабочее место «Клиентский портал» (Клиент) — следующая фаза
2026-05-29T21:00:23+00:00,2026-05-30T00:00:23+03:00,pr_merged,konard,2907,,yes,feat(#2904): роли и пользователи atex (шаги 10-11 дизайн-спеки)
2026-05-29T21:00:23+00:00,2026-05-30T00:00:23+03:00,commit,konard,,5193ea4d,,feat(#2904): роли и пользователи atex (шаги 10-11 дизайн-спеки) (#2907)
2026-05-29T21:04:12+00:00,2026-05-30T00:04:12+03:00,pr_merged,konard,2910,,yes,docs(#2903): декомпозиция рабочих мест atex на отдельные тикеты
2026-05-29T21:04:12+00:00,2026-05-30T00:04:12+03:00,commit,konard,,bed0d5ee,,docs(#2903): декомпозиция рабочих мест atex на отдельные тикеты (#2910)
2026-05-29T21:32:51+00:00,2026-05-30T00:32:51+03:00,pr_created,konard,2921,,yes,feat(#2911): рабочее место atex «Приём и ведение заказов» (Менеджер)
2026-05-29T21:34:16+00:00,2026-05-30T00:34:16+03:00,pr_created,konard,2922,,yes,atex: рабочее место «Калькулятор типов резки» (Диспетчер) (#2912)
2026-05-29T21:45:23+00:00,2026-05-30T00:45:23+03:00,commit,konard,,596b3fe6,,feat(#2912): atex «Калькулятор типов резки» — рабочее место Диспетчера
